uid,sid
62,641
46,30
184,258
28,250
108,632
15,642
130,643
92,225
13,320
196,165
22,413
77,338
8,156
95,252
121,86
65,645
181,24
120,12
88,276
15,646
207,83
17,250
65,46
157,529
3,264
173,251
201,595
176,1
270,357
102,647
138,549
35,24
261,177
75,102
118,648
114,356
37,201
54,145
103,432
91,435
18,649
51,96
206,130
121,650
83,216
111,651
136,135
226,142
41,93
72,407
52,172
162,28
25,456
52,544
167,652
5,653
38,655
104,133
110,633
271,28
15,656
13,657
19,105
254,602
19,658
210,25
185,68
43,557
182,592
52,79
117,176
81,53
58,112
169,221
142,139
13,17
90,120
58,659
126,660
186,661
118,662
263,288
180,304
133,165
104,140
102,432
15,663
272,571
9,454
35,413
75,207
15,664
273,665
248,408
264,596
58,403
98,75
88,195
10,60
205,189
124,666
72,667
90,211
274,668
226,476
225,391
102,319
206,657
162,108
80,72
72,543
35,483
237,140
37,302
136,231
111,31
23,26
60,96
158,670
64,96
65,426
49,178
68,514
12,186
58,671
119,373
192,305
138,161
27,672
167,483
89,254
32,100
200,198
261,676
128,677
192,177
162,9
190,103
53,471
90,342
43,284
6,389
58,678
24,24
275,680
129,390
162,465
226,607
276,139
151,618
277,681
53,66
180,70
90,682
12,298
75,22
76,408
278,217
198,191
145,683
140,1
129,110
26,51
19,684
181,157
70,685
212,60
185,301
153,377
163,43
271,652
268,77
182,250
77,156
86,686
84,120
114,662
127,231
80,687
19,688
54,53
115,97
124,31
136,347
279,356
70,689
65,311
280,166
196,97
61,594
162,690
60,82
65,571
98,247
70,18
176,652
65,193
133,647
41,590
41,244
145,267
83,238
140,646
193,660
80,359
281,141
225,691
158,692
113,209
9,186
121,559
169,356
102,693
26,84
151,349
80,225
83,694
116,422
47,695
80,117
35,696
226,56
71,324
41,3
17,697
118,253
192,261
160,420
87,698
176,399
239,11
75,253
99,175
282,700
283,31
51,86
86,17
17,186
42,95
19,669
75,682
54,502
35,180
75,701
154,702
92,26
65,166
78,462
58,291
96,607
38,643
192,703
285,5
100,432
95,158
75,706
105,84
173,668
248,480
79,707
23,708
116,709
116,494
227,60
45,177
105,710
239,652
214,355
116,630
167,427
41,711
172,231
20,712
15,363
46,357
219,133
269,713
90,464
52,714
286,715
96,716
9,242
226,316
110,717
96,718
140,89
131,216
96,427
68,100
90,4
58,574
168,719
26,456
127,404
18,209
254,471
282,241
18,423
87,430
52,635
65,721
23,392
30,465
151,46
23,723
165,57
79,644
156,360
41,460
102,153
178,208
162,724
224,211
8,229
169,242
193,363
17,725
173,506
37,141
85,209
240,707
63,273
108,299
287,25
161,120
115,181
110,727
37,728
58,371
38,205
91,694
68,462
80,716
147,191
2,618
121,730
93,137
187,731
221,407
143,731
55,311
76,531
63,562
96,403
48,577
101,732
184,390
65,68
49,364
226,135
26,394
45,207
24,657
209,49
63,261
7,618
118,324
140,734
38,405
58,554
95,133
181,683
8,357
239,88
261,327
62,389
65,405
90,390
3,577
35,736
192,737
15,479
194,43
288,104
132,471
129,111
80,718
192,269
18,738
10,83
0,522
15,467
105,739
143,466
15,311
18,232
67,123
37,740
78,741
37,742
82,345
285,27
289,647
54,167
29,306
51,157
114,99
145,193
290,744
121,316
264,745
82,85
96,201
24,161
261,647
15,533
83,747
100,181
125,122
221,275
97,328
195,78
37,748
46,554
23,303
15,749
14,376
5,350
281,432
165,273
100,502
43,208
161,136
65,437
45,33
60,750
58,608
83,115
65,308
67,317
226,506
180,273
41,465
75,156
59,99
290,522
208,209
49,277
10,612
53,753
37,717
292,115
105,209
180,140
293,153
65,754
45,587
96,755
0,431
121,756
117,757
177,719
35,759
174,577
294,498
248,760
226,693
48,11
270,656
41,292
88,49
45,667
11,761
72,548
65,762
28,216
284,189
54,147
200,614
68,763
18,366
67,764
105,213
124,540
110,24
173,93
129,766
22,181
235,48
144,356
281,361
153,161
96,337
295,99
170,755
253,670
38,103
47,274
93,249
184,767
80,660
291,570
245,1
163,360
169,190
259,157
14,59
102,232
76,768
133,189
116,292
284,403
207,514
71,769
11,146
12,613
28,140
9,240
151,549
144,498
82,770
61,771
88,139
153,772
37,774
62,656
187,652
37,543
103,95
11,775
122,273
222,595
175,776
116,308
70,777
118,778
63,779
105,543
135,104
129,217
231,355
103,442
174,52
23,780
100,337
85,49
144,104
8,236
296,643
176,76
297,130
69,95
173,216
200,781
184,359
298,350
41,483
201,782
158,320
233,189
202,179
65,61
150,333
71,82
111,92
178,365
178,580
158,498
100,121
68,99
175,31
15,93
58,786
264,26
129,16
158,381
112,669
15,622
254,403
129,772
10,157
63,281
157,112
46,364
35,788
262,395
127,85
96,492
62,340
240,357
90,184
68,621
161,151
41,563
264,790
264,695
114,16
121,47
248,102
175,585
165,22
75,791
19,402
154,73
158,693
13,456
41,156
111,414
162,52
167,656
221,491
37,368
75,792
81,191
175,793
131,120
18,305
77,26
235,715
18,120
38,632
35,39
144,211
23,142
54,342
33,217
175,340
52,794
47,93
1,746
22,795
39,137
87,594
181,796
34,305
71,607
35,43
121,547
241,582
125,612
37,30
19,59
253,566
133,798
300,10
257,243
301,239
160,585
202,385
22,673
147,232
18,195
52,289
97,799
61,247
264,424
41,273
17,586
233,752
1,800
35,41
107,209
11,383
205,310
58,133
302,189
159,244
278,260
219,0
182,801
15,28
85,118
303,337
249,613
22,802
67,803
38,190
304,652
184,188
298,83
116,804
80,264
27,59
305,139
35,595
167,43
55,361
35,582
306,60
18,698
125,423
8,359
162,309
90,805
151,676
38,754
151,482
41,806
37,615
36,807
134,184
161,350
27,196
147,230
147,321
10,808
193,240
127,23
116,117
182,670
120,781
3,217
38,811
148,184
138,812
68,60
126,813
75,485
128,170
100,512
3,573
83,176
295,487
219,409
14,48
102,28
192,209
123,26
76,814
228,179
28,359
238,17
50,815
173,585
95,146
62,816
217,269
115,86
144,87
3,817
11,276
21,717
46,52
119,53
68,4
38,818
80,284
95,63
98,103
176,58
10,613
110,820
83,267
143,460
130,153
138,337
17,77
17,231
226,114
42,10
96,102
75,537
32,528
76,528
8,169
100,351
37,571
300,153
114,821
14,610
126,557
78,354
59,342
194,823
55,191
39,751
148,824
126,503
27,357
242,394
38,669
38,189
63,506
52,746
248,577
19,456
9,56
8,341
218,452
280,751
58,723
1,151
9,89
100,231
166,652
111,296
78,458
70,826
11,157
167,382
15,203
41,470
58,360
162,49
96,827
19,828
118,239
308,110
254,673
121,829
96,460
184,186
172,52
154,0
18,684
58,611
133,643
166,101
239,6
104,460
75,460
105,324
38,53
205,531
194,468
255,102
178,354
226,830
92,467
285,10
52,433
309,140
117,748
273,613
179,6
127,831
205,444
114,729
132,66
285,315
147,157
33,694
110,746
224,832
90,217
38,469
151,591
117,833
194,191
0,834
122,288
46,356
255,309
67,835
310,408
15,298
158,527
119,181
72,482
74,52
185,246
110,473
309,145
9,95
13,573
129,816
55,801
10,358
121,403
52,423
115,158
19,238
158,138
33,241
72,465
111,2
119,837
8,508
220,289
301,774
103,297
110,801
135,838
142,251
201,49
137,276
40,346
170,839
70,14
121,409
123,270
8,767
62,200
2,156
56,98
45,229
100,583
176,95
55,36
115,87
145,622
22,307
6,189
52,479
208,408
75,276
75,109
75,63
27,12
47,556
80,843
189,719
266,397
15,1
22,592
39,326
58,22
35,845
120,846
19,504
120,189
87,847
35,1
273,848
237,399
19,603
15,849
210,434
176,81
264,438
159,561
129,293
110,116
14,244
56,112
131,254
46,278
15,144
139,480
30,101
65,661
46,267
194,850
33,31
248,160
88,198
58,173
63,24
301,452
19,357
133,12
68,852
38,46
54,853
264,854
201,115
154,170
49,233
129,307
61,525
19,260
249,101
205,855
181,837
191,125
41,719
97,120
116,415
129,68
52,297
269,252
273,302
14,121
267,240
51,795
72,599
52,856
275,346
264,857
117,858
19,859
43,389
242,274
167,491
37,370
222,403
137,753
153,856
58,320
227,331
3,209
24,70
95,340
77,321
90,158
129,347
157,329
12,46
41,136
145,48
25,831
18,758
146,860
248,254
92,861
114,88
75,665
38,471
23,710
10,598
49,388
68,637
58,310
58,85
94,471
205,197
42,382
185,357
47,190
41,140
117,689
194,247
156,611
15,774
152,144
85,492
46,367
134,719
203,863
53,758
181,864
277,0
220,144
236,695
16,244
37,520
14,754
138,174
75,203
98,239
243,273
23,622
55,633
196,585
232,514
126,865
136,357
173,341
210,173
116,80
254,182
13,390
98,291
129,867
68,437
68,724
26,136
37,298
17,550
25,50
65,869
226,571
95,436
18,138
129,438
60,337
65,156
33,721
264,720
111,332
120,97
46,247
150,730
241,751
70,118
14,870
88,406
309,95
127,294
253,438
35,871
105,447
91,498
75,872
83,784
45,873
205,646
121,872
60,583
175,373
11,862
76,256
226,471
51,182
263,499
43,370
11,220
225,101
102,130
182,534
129,635
170,404
42,216
191,221
126,795
222,49
232,68
285,357
58,817
103,120
47,29
91,544
239,99
58,874
37,875
8,184
137,5
114,390
180,733
289,369
58,876
25,7
23,71
140,822
26,652
38,877
171,98
143,49
175,878
24,879
15,356
76,24
70,740
80,315
38,313
35,880
41,48
58,97
95,556
71,57
17,787
46,881
195,882
254,317
76,357
19,309
103,170
283,433
102,288
250,357
58,883
129,540
159,665
145,197
105,392
18,79
283,420
83,108
17,345
110,383
261,259
243,682
7,357
26,366
41,386
43,885
108,611
205,543
98,689
226,436
52,487
110,693
281,629
76,585
231,101
311,254
110,886
144,289
138,103
136,887
76,322
147,311
225,339
127,858
275,157
65,888
43,889
41,334
11,890
166,297
89,729
37,591
226,80
309,417
183,288
55,403
38,391
253,465
248,309
80,62
90,307
134,325
129,78
309,179
146,891
242,892
145,872
37,109
213,514
102,31
75,528
70,144
206,189
55,884
51,472
20,567
192,361
281,660
172,668
58,78
41,860
98,315
239,16
24,101
116,48
139,694
92,753
252,95
34,136
100,508
47,577
59,403
286,231
277,72
56,695
166,288
55,893
226,201
312,46
100,656
206,53
110,734
23,562
61,523
83,342
131,22
80,36
290,180
22,329
75,773
91,122
143,321
21,20
2,894
18,895
17,238
39,896
24,444
39,660
52,702
250,229
117,438
102,852
83,897
37,898
285,173
143,157
77,209
179,472
25,886
242,338
156,288
90,76
194,242
24,900
92,216
8,506
116,456
68,427
74,364
91,156
143,901
100,108
239,307
311,902
63,529
24,56
282,594
90,740
193,433
117,904
18,80
70,221
121,31
192,863
38,101
125,905
226,905
150,597
18,172
89,754
244,404
173,156
226,52
126,37
157,367
88,341
185,136
111,57
67,289
289,209
66,95
103,72
147,561
169,864
85,629
194,139
71,435
30,99
90,249
285,239
5,530
32,173
131,703
35,40
55,475
309,406
59,103
176,369
90,654
68,257
75,907
63,908
139,494
85,613
37,404
8,68
61,434
58,909
262,117
126,321
65,614
186,216
179,475
96,172
80,910
169,529
27,911
300,140
176,311
261,141
252,60
46,25
310,307
52,550
52,913
115,68
38,356
163,554
104,136
68,817
144,235
37,229
70,347
10,154
253,606
37,720
202,347
43,373
2,538
227,157
124,101
181,217
8,547
239,52
38,32
310,78
157,552
102,390
1,433
117,178
99,767
297,60
17,349
71,612
118,499
131,137
302,652
60,914
54,916
37,917
118,182
55,56
98,64
22,918
116,113
143,309
226,76
154,289
208,231
112,700
264,502
182,657
45,156
175,153
107,23
165,103
8,329
23,424
63,467
163,115
224,5
119,576
119,474
57,229
70,86
105,577
169,719
153,345
2,253
209,242
114,697
129,920
117,14
151,201
226,218
15,492
51,186
239,332
207,452
76,836
83,835
74,403
9,921
2,479
58,922
311,500
12,293
83,408
100,186
47,403
13,923
263,118
285,105
75,924
210,403
80,859
68,472
208,112
14,587
43,403
30,161
3,864
24,799
85,294
117,926
288,72
8,93
127,717
14,741
138,834
192,73
41,927
106,175
285,242
223,60
180,280
224,254
20,719
158,380
96,529
201,302
82,814
155,104
237,256
9,342
102,599
23,150
26,928
226,423
35,918
247,242
97,678
126,371
35,929
195,538
118,930
138,931
119,34
127,155
253,932
35,391
11,757
19,103
131,499
116,267
83,403
63,299
248,864
105,329
60,156
58,758
118,403
222,30
58,933
70,663
34,934
116,935
7,256
291,140
100,914
100,936
314,273
38,697
163,175
160,117
133,60
129,295
226,567
115,10
18,683
115,209
285,247
54,937
75,33
75,938
202,329
90,181
104,9
65,310
18,495
225,72
26,116
118,612
178,156
242,268
82,147
20,316
3,176
301,24
18,480
52,329
226,556
173,63
118,100
169,670
110,208
122,238
105,301
75,906
75,941
2,321
16,323
118,260
90,942
315,229
9,571
224,33
22,733
7,506
165,34
18,141
15,943
9,530
143,352
116,944
58,346
267,814
233,339
187,399
11,945
54,946
158,474
132,161
154,130
126,174
10,947
313,113
154,618
19,948
89,49
222,432
30,949
83,389
54,243
146,95
226,81
35,861
313,397
87,404
17,53
184,763
181,75
18,388
131,367
2,731
121,207
254,951
110,305
107,656
83,357
297,502
23,926
239,133
114,275
58,952
97,953
270,427
139,240
93,355
230,274
147,954
119,208
116,594
69,573
116,201
88,463
58,141
174,955
315,936
181,112
1,370
68,577
258,608
312,102
47,546
144,166
52,956
37,635
266,157
54,607
85,957
20,79
144,59
118,31
110,725
182,359
20,958
210,287
143,106
237,97
95,68
3,329
13,118
96,157
309,208
226,959
95,96
118,307
76,126
37,205
153,567
182,58
27,77
68,253
314,38
297,512
144,179
12,253
32,106
98,464
35,59
47,525
49,173
17,267
308,293
37,184
121,220
54,118
317,209
281,389
253,622
11,693
54,740
54,303
11,431
122,389
67,573
191,529
122,24
281,31
8,54
171,72
92,437
86,177
37,960
313,201
70,961
232,12
315,181
95,137
243,366
25,166
23,591
195,962
118,595
70,323
70,191
98,612
317,21
62,51
41,168
151,269
79,382
264,778
26,219
302,62
110,284
318,349
25,242
205,809
39,509
65,607
166,157
13,102
67,357
88,130
311,347
18,114
18,497
43,340
72,747
319,49
320,157
38,964
43,328
130,464
114,965
218,571
19,583
138,321
11,418
55,170
228,247
122,89
71,363
83,0
126,320
8,216
76,305
318,476
240,432
169,296
17,946
125,161
169,119
100,411
32,309
45,278
186,643
30,799
71,25
121,755
41,967
264,774
2,893
52,415
65,323
224,895
15,968
176,60
3,643
92,33
72,474
9,969
245,452
162,45
102,491
92,10
222,24
100,294
59,723
22,269
10,142
85,973
206,418
207,130
55,974
182,280
52,403
38,408
246,66
169,590
291,51
41,355
164,157
87,117
111,55
321,139
19,340
30,373
18,975
190,166
102,527
147,256
154,89
83,273
235,175
194,161
300,502
189,751
121,856
265,695
250,583
21,345
11,976
99,51
129,767
93,205
289,24
169,239
119,14
153,754
313,364
126,15
116,216
105,726
70,390
17,567
173,217
38,139
52,973
76,656
84,209
184,337
299,268
55,726
30,155
310,191
205,480
76,594
101,347
61,409
291,278
265,153
68,238
210,99
260,161
153,256
123,977
24,375
186,320
41,147
245,261
74,97
194,305
65,260
105,234
26,978
207,86
76,348
192,115
194,200
90,979
194,720
197,48
133,715
322,459
310,221
10,471
233,382
263,980
49,656
205,253
14,408
17,131
120,59
98,98
137,408
65,131
70,575
10,740
58,769
83,652
52,432
228,108
289,124
310,357
193,297
77,29
80,554
313,982
200,531
300,189
110,476
18,885
12,434
318,809
184,300
2,417
71,452
54,423
81,56
110,403
184,111
100,378
121,227
158,577
162,142
317,125
34,600
184,256
291,206
30,390
76,206
225,671
295,315
79,204
126,983
175,364
56,497
53,501
117,401
65,774
193,355
32,17
127,524
119,278
161,849
313,888
143,288
176,874
115,289
80,896
303,599
61,305
323,60
118,864
167,497
324,985
226,408
89,342
92,36
2,102
103,25
188,157
311,652
249,302
102,320
98,289
35,209
144,986
195,591
8,546
313,204
313,755
269,144
131,423
311,913
121,546
56,188
140,492
106,251
253,567
75,987
47,265
317,220
88,942
21,988
129,254
144,154
170,60
40,157
188,574
76,154
83,254
151,543
122,989
181,165
64,465
61,400
76,689
195,89
35,873
76,356
92,229
17,476
181,211
105,188
100,347
54,504
264,894
56,100
18,322
56,311
32,196
16,66
247,103
52,337
235,890
223,656
103,357
137,83
295,546
194,990
179,359
65,565
15,219
55,347
43,57
35,306
35,849
116,161
37,991
271,364
194,266
56,611
173,873
55,15
58,185
263,695
100,549
269,608
233,124
231,5
140,517
286,52
298,23
45,311
93,992
303,431
150,89
35,187
38,540
20,491
35,793
119,820
18,510
310,227
68,496
15,973
308,137
116,25
81,282
30,527
132,57
30,55
114,53
70,748
311,17
67,282
318,646
71,399
131,154
151,156
8,133
54,834
248,288
98,91
19,155
80,229
202,53
118,330
194,994
75,92
302,274
21,36
20,88
203,995
60,5
154,66
322,668
17,802
35,370
116,368
211,12
86,181
117,131
52,188
125,882
39,170
47,973
138,47
46,873
325,140
180,561
207,100
63,942
116,146
325,647
132,32
127,445
70,338
39,506
220,652
100,367
56,49
60,242
176,354
248,6
19,475
41,127
35,997
123,175
23,998
272,58
92,179
203,999
233,83
80,404
309,734
30,86
183,491
281,324
187,112
312,938
325,36
114,1001
207,320
162,91
308,258
326,325
204,189
152,691
27,371
41,542
12,776
58,363
144,408
41,876
168,252
162,316
81,297
25,510
188,695
12,76
45,408
162,337
37,390
110,50
14,157
76,86
5,1002
3,768
289,267
52,100
30,1003
311,730
190,60
164,98
278,4
68,934
58,641
118,589
83,161
11,491
105,525
218,960
167,510
226,504
60,185
12,254
91,695
34,175
15,322
111,1005
32,211
35,653
63,695
295,260
208,476
145,594
246,364
101,136
15,672
310,647
39,211
128,389
263,722
58,652
117,298
270,387
85,66
11,49
83,8
52,200
313,431
80,802
34,371
253,191
220,51
37,1008
37,1009
105,25
6,29
143,408
95,211
192,1010
52,377
95,858
95,191
169,931
105,333
118,814
64,501
325,12
127,26
74,474
310,99
179,470
65,1011
62,77
86,446
43,783
309,893
225,36
290,491
179,1012
65,160
278,512
111,817
301,413
19,299
282,1
307,700
144,822
93,488
214,101
32,1013
117,348
12,464
105,681
68,112
58,14
68,476
126,945
281,474
154,693
224,247
41,47
7,590
281,333
13,260
129,460
49,141
327,175
98,68
5,50
11,1015
71,758
17,1016
15,480
145,112
65,886
308,88
205,9
176,458
326,1017
176,618
185,24
328,378
83,571
70,479
284,140
24,102
116,247
32,557
264,1018
138,1019
318,182
30,229
118,215
311,474
96,420
248,725
295,561
231,361
25,55
14,670
208,830
317,337
25,57
118,101
23,330
165,418
119,557
181,676
39,873
309,347
100,571
226,725
199,960
181,151
195,666
330,98
58,242
37,1021
206,113
180,320
265,140
285,465
138,136
41,78
122,587
176,476
248,571
181,474
86,340
41,789
6,229
325,1022
20,797
132,225
10,151
327,572
41,306
217,346
182,147
77,357
43,179
11,7
162,888
253,289
85,956
18,527
51,530
118,895
35,279
60,161
47,66
205,102
230,265
65,354
23,298
195,801
114,191
153,244
302,52
76,886
195,105
47,1023
72,421
319,67
312,136
23,979
121,219
85,382
142,115
18,367
6,365
129,277
8,82
19,692
75,89
19,989
87,156
253,141
91,83
55,302
245,416
118,231
46,518
248,96
58,942
8,1
90,361
91,693
71,357
172,236
118,216
195,49
15,180
142,930
47,1
114,611
162,133
68,888
68,369
85,351
19,1024
35,1025
17,221
118,130
233,144
318,76
12,443
27,30
83,260
266,630
23,285
158,423
35,441
310,1026
110,306
181,302
333,100
3,26
10,913
67,218
138,57
83,46
38,982
325,473
141,642
101,311
3,460
298,124
193,189
45,158
309,298
58,464
39,600
295,690
41,1027
26,142
245,364
226,480
334,280
10,97
192,359
138,1024
19,549
242,265
54,368
52,142
244,51
80,21
137,586
17,166
80,807
313,615
38,1028
129,182
144,623
116,165
